2017-02-07 14:33:22.546 [http-bio-8081-exec-7] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-02-07 14:33:22.690 [http-bio-8081-exec-7] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-02-07 14:33:22.876 [http-bio-8081-exec-7] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.upingwang.rest.controller.IndexController.index()
2017-02-07 14:33:22.925 [http-bio-8081-exec-7] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
2017-02-07 14:33:23.135 [http-bio-8081-exec-7] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:33:22 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:33:23.196 [http-bio-8081-exec-7] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'uping-rest-servlet': startup date [Tue Feb 07 14:33:22 CST 2017]; parent: Root WebApplicationContext
2017-02-07 14:33:23.304 [http-bio-8081-exec-7] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-02-07 14:33:23.333 [http-bio-8081-exec-7] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'uping-rest': initialization completed in 793 ms
2017-02-07 14:38:06.223 [http-bio-8081-exec-1] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/rest] in DispatcherServlet with name 'uping-rest'
2017-02-07 14:38:15.376 [http-bio-8081-exec-1] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/rest/] in DispatcherServlet with name 'uping-rest'
2017-02-07 15:35:34.911 [http-bio-8081-exec-1] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/rest/images/icons/logo.png] in DispatcherServlet with name 'uping-rest'
2017-02-07 15:36:09.582 [http-bio-8081-exec-3] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/rest/images/icons/logo.png] in DispatcherServlet with name 'uping-rest'
2017-02-07 17:05:08.073 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-02-07 17:05:08.205 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 07 17:05:08 CST 2017]; root of context hierarchy
